Category,Role,Keywords,Skills,KPI,Tools
Marketing,Product Marketing v1,"positioning, messaging, personas + roadmapping, forecasting, reporting","market analysis + data literacy, stakeholder management","adoption, retention + efficiency, cycle time","Notion, Figma + Google Workspace, Notion"
Marketing,Community Manager v1,"community, engagement, social media + benchmarking, roadmapping, execution","communication + time management, collaboration","engagement rate + throughput, velocity","Discord, LinkedIn + Miro, Google Workspace"
Product,Product Manager v1,"roadmap, backlog, discovery, MVP, prioritization + alignment, reporting, analysis","strategic thinking, communication + technical communication, critical thinking","feature adoption, retention + ROI, throughput","Jira, Productboard + Power BI, Figma"
Product,Product Owner v1,"backlog, user stories, agile + alignment, execution, experimenting","requirements mgmt + time management, stakeholder management","sprint velocity + growth rate, velocity","Jira + Slack, Miro"
Product,UX Researcher v1,"user research, interviews, personas + benchmarking, scaling, experimenting","empathy, analysis + data literacy, technical communication","insights generated + accuracy, quality score","UserTesting + Google Workspace, Jira"
Product,UX Designer v1,"UX, UI, wireframes, prototypes + metrics, alignment, scaling","design thinking + critical thinking, stakeholder management","usability score + cycle time, throughput","Figma + Power BI, Asana"
Product,Product Analyst v1,"metrics, cohorts, funnels + reporting, execution, roadmapping","data analysis + problem solving, data literacy","retention, DAU/MAU + throughput, velocity","SQL, Amplitude + Figma, Notion"
Engineering,Frontend Developer v1,"React, UI, performance, APIs + strategy, prioritization, optimization","coding, debugging + time management, stakeholder management","deployment frequency + quality score, efficiency","GitHub, React + Miro, Google Workspace"
Engineering,Backend Developer v1,"APIs, databases, architecture + benchmarking, roadmapping, prioritization","system design + technical communication, stakeholder management","latency, uptime + cycle time, velocity","Node, Python + Notion, Power BI"
Engineering,Full Stack Developer v1,"frontend, backend, databases + optimization, forecasting, cross-functional","versatility + data literacy, technical communication","delivery speed + accuracy, ROI","GitHub + Google Workspace, Asana"
Engineering,Mobile Developer v1,"iOS, Android, apps + reporting, experimenting, prioritization","mobile dev + time management, technical communication","crash rate + ROI, accuracy","Swift, Kotlin + Asana, Slack"
Engineering,DevOps Engineer v1,"CI/CD, cloud, infrastructure + strategy, scaling, metrics","automation + collaboration, critical thinking","uptime, MTTR + velocity, ROI","AWS, Docker + Notion, Looker"
Engineering,QA Engineer v1,"testing, automation, bugs + benchmarking, analysis, cross-functional","attention to detail + data literacy, stakeholder management","defect rate + velocity, ROI","Selenium + Looker, Power BI"
Engineering,Tech Lead v1,"architecture, mentoring, code quality + alignment, prioritization, strategy","leadership + problem solving, stakeholder management","delivery predictability + quality score, growth rate","GitHub + Power BI, Looker"
Engineering,CTO v1,"technology strategy, scalability + benchmarking, prioritization, metrics","leadership, vision + data literacy, collaboration","platform stability + cycle time, quality score","Cloud platforms + Slack, Figma"
Customer Success,CSM v1,"onboarding, adoption, retention, NPS + benchmarking, prioritization, metrics","relationship mgmt + problem solving, technical communication","NRR, churn + velocity, efficiency","Gainsight + Miro, Looker"
Customer Success,Support Agent v1,"tickets, troubleshooting, SLA + reporting, metrics, automation","problem-solving + collaboration, adaptability","CSAT, response time + growth rate, ROI","Zendesk + Looker, Figma"
Customer Success,Implementation Manager v1,"onboarding, integration + scaling, execution, experimenting","project mgmt + stakeholder management, adaptability","time-to-value + cycle time, efficiency","Jira + Figma, Airtable"
Customer Success,Head of CS v1,"retention strategy, scaling + alignment, execution, strategy","leadership + collaboration, adaptability","NRR, churn + accuracy, efficiency","CRM tools + Google Workspace, Looker"
HR,Recruiter v1,"hiring, sourcing, interviews + forecasting, roadmapping, benchmarking","communication + time management, problem solving","time-to-hire + efficiency, cycle time","LinkedIn Recruiter + Notion, Miro"
HR,HR Manager v1,"policies, culture, compliance + forecasting, automation, execution","leadership + technical communication, stakeholder management","attrition rate + cycle time, velocity","BambooHR + Airtable, Slack"
HR,People Partner v1,"engagement, performance + analysis, optimization, alignment","coaching + stakeholder management, collaboration","engagement score + velocity, efficiency","Lattice + Power BI, Slack"
HR,L&D Specialist v1,"training, development + reporting, analysis, execution","instructional design + adaptability, data literacy","training completion + velocity, efficiency","LMS + Jira, Airtable"
HR,Payroll Specialist v1,"payroll, compensation + strategy, prioritization, analysis","accuracy + collaboration, stakeholder management","payroll errors + throughput, velocity","ADP + Miro, Google Workspace"
Finance,CFO v1,"financial strategy, forecasting, capital + scaling, analysis, execution","leadership + data literacy, problem solving","EBITDA + throughput, velocity","Excel + Google Workspace, Power BI"
Finance,Financial Analyst v1,"budgeting, forecasting, modeling + experimenting, cross-functional, benchmarking","analytics + stakeholder management, problem solving","variance + throughput, cycle time","Excel, Power BI + Airtable, Jira"
Finance,Accountant v1,"accounting, reporting, compliance + reporting, experimenting, alignment","precision + critical thinking, technical communication","closing time + accuracy, quality score","SAP + Slack, Miro"
Finance,FP&A v1,"planning, metrics, business insights + prioritization, roadmapping, automation","analysis + data literacy, stakeholder management","forecast accuracy + ROI, velocity","Excel + Figma, Jira"
Finance,AR/AP Specialist v1,"invoicing, collections + execution, alignment, reporting","organization + stakeholder management, adaptability","DSO + cycle time, quality score","ERP systems + Miro, Asana"
Data,Data Analyst v1,"SQL, dashboards, insights + analysis, benchmarking, experimenting","analytics + collaboration, problem solving","data accuracy + growth rate, quality score","SQL, Tableau + Google Workspace, Power BI"
Data,Data Scientist v1,"ML, models, predictions + forecasting, reporting, experimenting","statistics + collaboration, critical thinking","model accuracy + cycle time, ROI","Python + Google Workspace, Looker"
Data,Analytics Engineer v1,"pipelines, transformation + analysis, execution, strategy","data engineering + problem solving, adaptability","pipeline reliability + velocity, ROI","dbt + Airtable, Slack"
Data,Head of Data v1,"data strategy, governance + analysis, cross-functional, experimenting","leadership + collaboration, time management","data adoption + quality score, velocity","Snowflake + Looker, Airtable"
Operations,Operations Manager v1,"processes, efficiency, scalability + scaling, strategy, prioritization","optimization + data literacy, problem solving","cost reduction + accuracy, quality score","Asana + Miro, Asana"
Operations,Business Operations v1,"strategy, execution + automation, benchmarking, scaling","cross-functional thinking + time management, problem solving","OKRs + cycle time, quality score","Notion + Notion, Power BI"
Operations,Supply Chain Manager v1,"logistics, inventory + strategy, roadmapping, benchmarking","planning + collaboration, stakeholder management","lead time + accuracy, ROI","ERP + Slack, Google Workspace"
Operations,Project Manager v1,"timelines, scope, resources + forecasting, automation, reporting","organization + collaboration, stakeholder management","delivery rate + throughput, efficiency","Jira + Miro, Asana"
Legal,Legal Counsel v1,"contracts, compliance, risk + analysis, alignment, cross-functional","legal expertise + critical thinking, problem solving","contract cycle time + growth rate, velocity","DocuSign + Slack, Figma"
Legal,Compliance Officer v1,"regulations, audits + scaling, strategy, analysis","attention to detail + adaptability, problem solving","compliance rate + quality score, throughput","GRC tools + Miro, Jira"
Legal,Paralegal v1,"documentation, research + experimenting, automation, metrics","organization + data literacy, collaboration","case turnaround + efficiency, growth rate","Legal software + Miro, Slack"
IT,IT Support v1,"troubleshooting, hardware, software + experimenting, benchmarking, cross-functional","technical support + problem solving, collaboration","ticket resolution + quality score, accuracy","ServiceNow + Asana, Google Workspace"
IT,System Administrator v1,"networks, servers, security + forecasting, benchmarking, automation","infrastructure + stakeholder management, technical communication","uptime + cycle time, throughput","Linux + Miro, Asana"
IT,Security Engineer v1,"cybersecurity, threat detection + metrics, experimenting, cross-functional","risk management + stakeholder management, technical communication","incidents + quality score, throughput","SIEM tools + Airtable, Looker"
IT,IT Manager v1,"IT strategy, systems + experimenting, automation, optimization","leadership + critical thinking, adaptability","downtime + ROI, quality score","ITSM tools + Looker, Slack"
Sales,SDR v2,"inbound, qualification, SQL, discovery, nurturing, demos + metrics, alignment, strategy","qualification, communication, CRM + data literacy, collaboration","SQLs, demo rate, conversion rate + cycle time, growth rate","HubSpot, Salesforce + Airtable, Jira"
Sales,AE v2,"closing, ARR, revenue, sales cycle, negotiation, quota, forecasting + metrics, scaling, forecasting","negotiation, storytelling, strategy + collaboration, adaptability","ARR, win rate, quota attainment + cycle time, ROI","Salesforce, Gong, Zoom + Airtable, Asana"
Sales,AM v2,"retention, renewals, expansion, churn, NRR, upsell + automation, strategy, alignment","relationship mgmt, account strategy + problem solving, collaboration","NRR, churn, expansion revenue + throughput, cycle time","Gainsight, Salesforce + Figma, Power BI"
Sales,Sales Manager v2,"coaching, forecasting, pipeline, performance + strategy, reporting, optimization","leadership, analytics + time management, problem solving","team quota, forecast accuracy + velocity, ROI","Salesforce + Notion, Figma"
Sales,RevOps v2,"revenue ops, forecasting, processes, automation + alignment, execution, cross-functional","data analysis, systems thinking + time management, adaptability","revenue growth, efficiency + efficiency, growth rate","Salesforce, HubSpot, Tableau + Google Workspace, Slack"
Marketing,Marketing Manager v2,"brand, campaigns, positioning, GTM + prioritization, cross-functional, analysis","strategy, leadership + adaptability, collaboration","CAC, MQLs + accuracy, efficiency","HubSpot, GA4 + Figma, Asana"
Marketing,Growth Marketer v2,"experimentation, funnels, CRO, growth loops + analysis, experimenting, reporting","analytics, creativity + technical communication, problem solving","conversion rate, LTV/CAC + ROI, growth rate","GA4, Mixpanel + Power BI, Notion"
Marketing,Performance Marketer v2,"paid ads, PPC, ROAS, funnels + analysis, alignment, execution","data-driven thinking + data literacy, critical thinking","ROAS, CPA + quality score, throughput","Google Ads, Meta Ads + Power BI, Figma"
Marketing,Content Marketer v2,"content, SEO, storytelling, copywriting + analysis, alignment, roadmapping","writing, SEO + problem solving, technical communication","organic traffic, engagement + ROI, accuracy","Ahrefs, SEMrush + Jira, Figma"
Marketing,SEO Specialist v2,"keywords, ranking, backlinks, SERP + reporting, experimenting, metrics","technical SEO + stakeholder management, collaboration","organic traffic + cycle time, ROI","Ahrefs, Screaming Frog + Power BI, Slack"
Marketing,Product Marketing v2,"positioning, messaging, personas + roadmapping, execution, experimenting","market analysis + adaptability, critical thinking","adoption, retention + quality score, growth rate","Notion, Figma + Google Workspace, Power BI"
Marketing,Community Manager v2,"community, engagement, social media + optimization, reporting, experimenting","communication + stakeholder management, time management","engagement rate + ROI, velocity","Discord, LinkedIn + Google Workspace, Figma"
Product,Product Manager v2,"roadmap, backlog, discovery, MVP, prioritization + strategy, analysis, cross-functional","strategic thinking, communication + technical communication, time management","feature adoption, retention + throughput, growth rate","Jira, Productboard + Slack, Airtable"
Product,Product Owner v2,"backlog, user stories, agile + automation, reporting, scaling","requirements mgmt + adaptability, collaboration","sprint velocity + velocity, quality score","Jira + Google Workspace, Miro"
Product,UX Researcher v2,"user research, interviews, personas + automation, analysis, forecasting","empathy, analysis + critical thinking, collaboration","insights generated + accuracy, cycle time","UserTesting + Notion, Miro"
Product,UX Designer v2,"UX, UI, wireframes, prototypes + alignment, metrics, automation","design thinking + time management, technical communication","usability score + velocity, throughput","Figma + Google Workspace, Power BI"
Product,Product Analyst v2,"metrics, cohorts, funnels + analysis, roadmapping, reporting","data analysis + stakeholder management, time management","retention, DAU/MAU + cycle time, accuracy","SQL, Amplitude + Looker, Notion"
Engineering,Frontend Developer v2,"React, UI, performance, APIs + cross-functional, optimization, forecasting","coding, debugging + data literacy, adaptability","deployment frequency + accuracy, growth rate","GitHub, React + Airtable, Power BI"
Engineering,Backend Developer v2,"APIs, databases, architecture + analysis, benchmarking, experimenting","system design + data literacy, technical communication","latency, uptime + accuracy, throughput","Node, Python + Asana, Notion"
Engineering,Full Stack Developer v2,"frontend, backend, databases + metrics, forecasting, reporting","versatility + adaptability, data literacy","delivery speed + quality score, throughput","GitHub + Slack, Jira"
Engineering,Mobile Developer v2,"iOS, Android, apps + alignment, optimization, execution","mobile dev + data literacy, collaboration","crash rate + accuracy, growth rate","Swift, Kotlin + Miro, Airtable"
Engineering,DevOps Engineer v2,"CI/CD, cloud, infrastructure + cross-functional, strategy, execution","automation + problem solving, stakeholder management","uptime, MTTR + growth rate, ROI","AWS, Docker + Looker, Figma"
Engineering,QA Engineer v2,"testing, automation, bugs + benchmarking, alignment, experimenting","attention to detail + data literacy, problem solving","defect rate + quality score, ROI","Selenium + Looker, Slack"
Engineering,Tech Lead v2,"architecture, mentoring, code quality + roadmapping, prioritization, metrics","leadership + problem solving, critical thinking","delivery predictability + accuracy, velocity","GitHub + Notion, Jira"
Engineering,CTO v2,"technology strategy, scalability + roadmapping, cross-functional, prioritization","leadership, vision + adaptability, critical thinking","platform stability + quality score, accuracy","Cloud platforms + Asana, Looker"
Customer Success,CSM v2,"onboarding, adoption, retention, NPS + benchmarking, reporting, metrics","relationship mgmt + time management, technical communication","NRR, churn + throughput, accuracy","Gainsight + Miro, Looker"
Customer Success,Support Agent v2,"tickets, troubleshooting, SLA + reporting, scaling, metrics","problem-solving + data literacy, time management","CSAT, response time + throughput, quality score","Zendesk + Slack, Asana"
Customer Success,Implementation Manager v2,"onboarding, integration + experimenting, metrics, alignment","project mgmt + technical communication, problem solving","time-to-value + velocity, efficiency","Jira + Figma, Miro"
Customer Success,Head of CS v2,"retention strategy, scaling + roadmapping, scaling, benchmarking","leadership + time management, adaptability","NRR, churn + velocity, growth rate","CRM tools + Google Workspace, Airtable"
HR,Recruiter v2,"hiring, sourcing, interviews + prioritization, analysis, optimization","communication + stakeholder management, data literacy","time-to-hire + throughput, growth rate","LinkedIn Recruiter + Figma, Power BI"
HR,HR Manager v2,"policies, culture, compliance + cross-functional, analysis, roadmapping","leadership + stakeholder management, critical thinking","attrition rate + ROI, cycle time","BambooHR + Figma, Asana"
HR,People Partner v2,"engagement, performance + scaling, strategy, prioritization","coaching + technical communication, time management","engagement score + cycle time, growth rate","Lattice + Google Workspace, Figma"
HR,L&D Specialist v2,"training, development + scaling, strategy, experimenting","instructional design + data literacy, stakeholder management","training completion + accuracy, throughput","LMS + Google Workspace, Figma"
HR,Payroll Specialist v2,"payroll, compensation + analysis, strategy, prioritization","accuracy + adaptability, technical communication","payroll errors + efficiency, throughput","ADP + Google Workspace, Miro"
Finance,CFO v2,"financial strategy, forecasting, capital + metrics, execution, benchmarking","leadership + collaboration, adaptability","EBITDA + accuracy, ROI","Excel + Notion, Slack"
Finance,Financial Analyst v2,"budgeting, forecasting, modeling + benchmarking, forecasting, experimenting","analytics + collaboration, adaptability","variance + accuracy, ROI","Excel, Power BI + Jira, Asana"
Finance,Accountant v2,"accounting, reporting, compliance + experimenting, cross-functional, analysis","precision + technical communication, data literacy","closing time + ROI, throughput","SAP + Google Workspace, Miro"
Finance,FP&A v2,"planning, metrics, business insights + experimenting, forecasting, metrics","analysis + technical communication, stakeholder management","forecast accuracy + cycle time, accuracy","Excel + Airtable, Slack"
Finance,AR/AP Specialist v2,"invoicing, collections + metrics, experimenting, strategy","organization + critical thinking, time management","DSO + cycle time, velocity","ERP systems + Airtable, Figma"
Data,Data Analyst v2,"SQL, dashboards, insights + prioritization, analysis, forecasting","analytics + stakeholder management, data literacy","data accuracy + quality score, velocity","SQL, Tableau + Figma, Looker"
Data,Data Scientist v2,"ML, models, predictions + forecasting, strategy, analysis","statistics + data literacy, problem solving","model accuracy + throughput, accuracy","Python + Power BI, Figma"
Data,Analytics Engineer v2,"pipelines, transformation + experimenting, metrics, alignment","data engineering + critical thinking, problem solving","pipeline reliability + ROI, quality score","dbt + Looker, Airtable"
Data,Head of Data v2,"data strategy, governance + cross-functional, prioritization, benchmarking","leadership + problem solving, stakeholder management","data adoption + cycle time, throughput","Snowflake + Jira, Power BI"
Operations,Operations Manager v2,"processes, efficiency, scalability + metrics, experimenting, analysis","optimization + critical thinking, data literacy","cost reduction + growth rate, cycle time","Asana + Airtable, Power BI"
Operations,Business Operations v2,"strategy, execution + strategy, benchmarking, forecasting","cross-functional thinking + critical thinking, stakeholder management","OKRs + quality score, velocity","Notion + Notion, Power BI"
Operations,Supply Chain Manager v2,"logistics, inventory + optimization, cross-functional, benchmarking","planning + critical thinking, time management","lead time + growth rate, efficiency","ERP + Google Workspace, Jira"
Operations,Project Manager v2,"timelines, scope, resources + roadmapping, scaling, optimization","organization + data literacy, critical thinking","delivery rate + velocity, accuracy","Jira + Miro, Airtable"
Legal,Legal Counsel v2,"contracts, compliance, risk + benchmarking, execution, roadmapping","legal expertise + stakeholder management, collaboration","contract cycle time + growth rate, accuracy","DocuSign + Power BI, Airtable"
Legal,Compliance Officer v2,"regulations, audits + roadmapping, cross-functional, alignment","attention to detail + data literacy, problem solving","compliance rate + accuracy, growth rate","GRC tools + Notion, Figma"
Legal,Paralegal v2,"documentation, research + metrics, automation, experimenting","organization + data literacy, problem solving","case turnaround + cycle time, efficiency","Legal software + Looker, Figma"
IT,IT Support v2,"troubleshooting, hardware, software + optimization, metrics, experimenting","technical support + adaptability, technical communication","ticket resolution + cycle time, efficiency","ServiceNow + Asana, Power BI"
IT,System Administrator v2,"networks, servers, security + reporting, benchmarking, metrics","infrastructure + collaboration, technical communication","uptime + growth rate, efficiency","Linux + Jira, Airtable"
IT,Security Engineer v2,"cybersecurity, threat detection + analysis, prioritization, optimization","risk management + time management, problem solving","incidents + velocity, quality score","SIEM tools + Figma, Notion"
IT,IT Manager v2,"IT strategy, systems + optimization, prioritization, forecasting","leadership + adaptability, critical thinking","downtime + cycle time, quality score","ITSM tools + Figma, Power BI"
Sales,SDR v3,"inbound, qualification, SQL, discovery, nurturing, demos + optimization, cross-functional, reporting","qualification, communication, CRM + problem solving, stakeholder management","SQLs, demo rate, conversion rate + growth rate, accuracy","HubSpot, Salesforce + Google Workspace, Jira"
Sales,AE v3,"closing, ARR, revenue, sales cycle, negotiation, quota, forecasting + benchmarking, cross-functional, analysis","negotiation, storytelling, strategy + data literacy, technical communication","ARR, win rate, quota attainment + velocity, efficiency","Salesforce, Gong, Zoom + Asana, Jira"
Sales,AM v3,"retention, renewals, expansion, churn, NRR, upsell + automation, metrics, execution","relationship mgmt, account strategy + critical thinking, data literacy","NRR, churn, expansion revenue + accuracy, velocity","Gainsight, Salesforce + Airtable, Looker"
Sales,Sales Manager v3,"coaching, forecasting, pipeline, performance + experimenting, automation, forecasting","leadership, analytics + adaptability, time management","team quota, forecast accuracy + growth rate, efficiency","Salesforce + Notion, Miro"
Sales,RevOps v3,"revenue ops, forecasting, processes, automation + prioritization, experimenting, strategy","data analysis, systems thinking + stakeholder management, data literacy","revenue growth, efficiency + cycle time, ROI","Salesforce, HubSpot, Tableau + Power BI, Miro"
Marketing,Marketing Manager v3,"brand, campaigns, positioning, GTM + experimenting, scaling, automation","strategy, leadership + problem solving, stakeholder management","CAC, MQLs + velocity, ROI","HubSpot, GA4 + Figma, Airtable"
Marketing,Growth Marketer v3,"experimentation, funnels, CRO, growth loops + automation, prioritization, alignment","analytics, creativity + data literacy, technical communication","conversion rate, LTV/CAC + cycle time, velocity","GA4, Mixpanel + Airtable, Power BI"
Marketing,Performance Marketer v3,"paid ads, PPC, ROAS, funnels + prioritization, scaling, benchmarking","data-driven thinking + technical communication, problem solving","ROAS, CPA + accuracy, efficiency","Google Ads, Meta Ads + Miro, Google Workspace"
Marketing,Content Marketer v3,"content, SEO, storytelling, copywriting + metrics, automation, experimenting","writing, SEO + data literacy, adaptability","organic traffic, engagement + throughput, cycle time","Ahrefs, SEMrush + Miro, Google Workspace"
Marketing,SEO Specialist v3,"keywords, ranking, backlinks, SERP + alignment, execution, prioritization","technical SEO + adaptability, time management","organic traffic + cycle time, throughput","Ahrefs, Screaming Frog + Airtable, Google Workspace"
Marketing,Product Marketing v3,"positioning, messaging, personas + benchmarking, reporting, experimenting","market analysis + problem solving, adaptability","adoption, retention + efficiency, ROI","Notion, Figma + Miro, Slack"
Marketing,Community Manager v3,"community, engagement, social media + automation, metrics, reporting","communication + critical thinking, problem solving","engagement rate + quality score, growth rate","Discord, LinkedIn + Asana, Power BI"
Product,Product Manager v3,"roadmap, backlog, discovery, MVP, prioritization + metrics, strategy, roadmapping","strategic thinking, communication + critical thinking, problem solving","feature adoption, retention + growth rate, cycle time","Jira, Productboard + Figma, Jira"
Product,Product Owner v3,"backlog, user stories, agile + prioritization, metrics, strategy","requirements mgmt + stakeholder management, technical communication","sprint velocity + cycle time, growth rate","Jira + Jira, Looker"
Product,UX Researcher v3,"user research, interviews, personas + scaling, cross-functional, reporting","empathy, analysis + time management, critical thinking","insights generated + growth rate, efficiency","UserTesting + Miro, Jira"
Product,UX Designer v3,"UX, UI, wireframes, prototypes + forecasting, execution, prioritization","design thinking + time management, data literacy","usability score + quality score, cycle time","Figma + Jira, Looker"
Product,Product Analyst v3,"metrics, cohorts, funnels + forecasting, metrics, roadmapping","data analysis + technical communication, collaboration","retention, DAU/MAU + velocity, ROI","SQL, Amplitude + Notion, Miro"
Engineering,Frontend Developer v3,"React, UI, performance, APIs + benchmarking, experimenting, metrics","coding, debugging + time management, data literacy","deployment frequency + accuracy, throughput","GitHub, React + Airtable, Asana"
Engineering,Backend Developer v3,"APIs, databases, architecture + roadmapping, optimization, alignment","system design + collaboration, technical communication","latency, uptime + cycle time, ROI","Node, Python + Figma, Google Workspace"
Engineering,Full Stack Developer v3,"frontend, backend, databases + prioritization, cross-functional, metrics","versatility + adaptability, data literacy","delivery speed + quality score, ROI","GitHub + Figma, Asana"
Engineering,Mobile Developer v3,"iOS, Android, apps + optimization, roadmapping, strategy","mobile dev + time management, stakeholder management","crash rate + velocity, accuracy","Swift, Kotlin + Google Workspace, Figma"
Engineering,DevOps Engineer v3,"CI/CD, cloud, infrastructure + roadmapping, automation, strategy","automation + collaboration, adaptability","uptime, MTTR + quality score, ROI","AWS, Docker + Asana, Slack"
Engineering,QA Engineer v3,"testing, automation, bugs + optimization, forecasting, cross-functional","attention to detail + stakeholder management, technical communication","defect rate + ROI, cycle time","Selenium + Airtable, Asana"
Engineering,Tech Lead v3,"architecture, mentoring, code quality + analysis, reporting, experimenting","leadership + critical thinking, time management","delivery predictability + efficiency, ROI","GitHub + Slack, Figma"
Engineering,CTO v3,"technology strategy, scalability + roadmapping, alignment, optimization","leadership, vision + problem solving, technical communication","platform stability + growth rate, ROI","Cloud platforms + Figma, Asana"
Customer Success,CSM v3,"onboarding, adoption, retention, NPS + reporting, optimization, scaling","relationship mgmt + technical communication, critical thinking","NRR, churn + accuracy, growth rate","Gainsight + Notion, Figma"
Customer Success,Support Agent v3,"tickets, troubleshooting, SLA + prioritization, benchmarking, scaling","problem-solving + collaboration, time management","CSAT, response time + growth rate, accuracy","Zendesk + Notion, Google Workspace"
Customer Success,Implementation Manager v3,"onboarding, integration + roadmapping, strategy, scaling","project mgmt + problem solving, critical thinking","time-to-value + accuracy, growth rate","Jira + Slack, Jira"
Customer Success,Head of CS v3,"retention strategy, scaling + roadmapping, strategy, scaling","leadership + technical communication, data literacy","NRR, churn + velocity, quality score","CRM tools + Airtable, Slack"
HR,Recruiter v3,"hiring, sourcing, interviews + forecasting, prioritization, benchmarking","communication + adaptability, time management","time-to-hire + cycle time, throughput","LinkedIn Recruiter + Notion, Looker"
HR,HR Manager v3,"policies, culture, compliance + benchmarking, prioritization, automation","leadership + technical communication, problem solving","attrition rate + cycle time, ROI","BambooHR + Miro, Google Workspace"
HR,People Partner v3,"engagement, performance + cross-functional, prioritization, optimization","coaching + adaptability, critical thinking","engagement score + efficiency, velocity","Lattice + Power BI, Miro"
HR,L&D Specialist v3,"training, development + execution, reporting, prioritization","instructional design + problem solving, adaptability","training completion + accuracy, quality score","LMS + Asana, Slack"
HR,Payroll Specialist v3,"payroll, compensation + roadmapping, cross-functional, execution","accuracy + data literacy, adaptability","payroll errors + throughput, efficiency","ADP + Figma, Notion"
Finance,CFO v3,"financial strategy, forecasting, capital + alignment, roadmapping, analysis","leadership + data literacy, critical thinking","EBITDA + growth rate, cycle time","Excel + Google Workspace, Asana"
Finance,Financial Analyst v3,"budgeting, forecasting, modeling + reporting, scaling, analysis","analytics + time management, data literacy","variance + quality score, growth rate","Excel, Power BI + Asana, Looker"
Finance,Accountant v3,"accounting, reporting, compliance + scaling, benchmarking, execution","precision + collaboration, problem solving","closing time + quality score, cycle time","SAP + Power BI, Slack"
Finance,FP&A v3,"planning, metrics, business insights + forecasting, analysis, automation","analysis + technical communication, data literacy","forecast accuracy + throughput, quality score","Excel + Looker, Airtable"
Finance,AR/AP Specialist v3,"invoicing, collections + strategy, metrics, experimenting","organization + adaptability, data literacy","DSO + ROI, cycle time","ERP systems + Miro, Jira"
Data,Data Analyst v3,"SQL, dashboards, insights + experimenting, analysis, scaling","analytics + adaptability, data literacy","data accuracy + accuracy, cycle time","SQL, Tableau + Slack, Miro"
Data,Data Scientist v3,"ML, models, predictions + prioritization, execution, alignment","statistics + stakeholder management, technical communication","model accuracy + cycle time, accuracy","Python + Asana, Power BI"
Data,Analytics Engineer v3,"pipelines, transformation + execution, strategy, optimization","data engineering + adaptability, critical thinking","pipeline reliability + quality score, growth rate","dbt + Figma, Notion"
Data,Head of Data v3,"data strategy, governance + cross-functional, execution, alignment","leadership + stakeholder management, data literacy","data adoption + growth rate, throughput","Snowflake + Miro, Asana"
Operations,Operations Manager v3,"processes, efficiency, scalability + cross-functional, prioritization, scaling","optimization + time management, critical thinking","cost reduction + efficiency, velocity","Asana + Slack, Asana"
Operations,Business Operations v3,"strategy, execution + analysis, execution, prioritization","cross-functional thinking + time management, problem solving","OKRs + efficiency, ROI","Notion + Airtable, Miro"
Operations,Supply Chain Manager v3,"logistics, inventory + execution, optimization, analysis","planning + critical thinking, technical communication","lead time + cycle time, efficiency","ERP + Looker, Airtable"
Operations,Project Manager v3,"timelines, scope, resources + cross-functional, execution, automation","organization + problem solving, data literacy","delivery rate + throughput, cycle time","Jira + Looker, Asana"
Legal,Legal Counsel v3,"contracts, compliance, risk + metrics, scaling, analysis","legal expertise + time management, stakeholder management","contract cycle time + throughput, efficiency","DocuSign + Jira, Airtable"
